name,bio
Essex Hemphill,"Essex Hemphill (April 16, 1957 – November 4, 1995) was an openly gay American poet and activist. He is known for his contributions to the Washington, D.C. art scene in the 1980s, and for openly discussing the topics pertinent to the African-American gay community.[1]
"
Philip Hensher,"
Philip Michael Hensher FRSL (born 20 February 1965)[1] is an English novelist, critic and journalist.
"
John Herbert,"John Herbert was the pen name of John Herbert Brundage (13 October 1926 – 22 June 2001), a Canadian playwright, drag queen, and theatre director best known for his 1967 play Fortune and Men's Eyes.
"
Catherine Hernandez,"Catherine Hernandez is a Canadian writer,[1] whose debut novel Scarborough was a shortlisted finalist for the 2017 Toronto Book Awards[2] and the 2018 Edmund White Award.[3]
"
Greg Herren,"Greg Herren is an American writer and editor, who publishes work in a variety of genres, including mystery novels, young adult literature and erotica.[1] He publishes work both as Greg Herren and under the pseudonym Todd Gregory.[1]
"
Patricia Highsmith,"
"
Scott Hightower,"Scott Hightower, an American poet, teacher, and reviewer, is the author of five books of poetry. His third, Part of the Bargain, won the 2004 Hayden Carruth Award. He is also the recipient of a Willis Barnstone Translation Prize for a translation from Spanish.
"
Tomson Highway,"Tomson Highway, CM (born 6 December 1951, Cree)[1] is an Indigenous Canadian playwright, novelist, and children's author.  He is best known for his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, both of which won the Dora Mavor Moore Award and the Floyd S. Chalmers Award.[1]
"
Thorn Kief Hillsbery,"Thorn Kief Hillsbery is an American novelist. He is the author of War Boy and What We Do Is Secret, which was nominated for a Lambda Literary Award. He was born in Portland, Oregon, and attended Evergreen State College. He currently lives in Manhattan, and teaches a creative writing workshop at Columbia University.
"
Daryl Hine,"William Daryl Hine (February 24, 1936 – August 20, 2012) was a Canadian poet and translator.  A MacArthur Fellow for the class of 1986, Hine was the editor of Poetry from 1968 to 1978. He graduated from McGill University in 1958 and then studied in Europe, as a Canada Council scholar.  He earned a PhD. in comparative literature at the University of Chicago (UC) in 1967.  During his career, Hine taught at UC, the University of Illinois at Chicago, and Northwestern University.
"
Hippothales,"Lysis (/ˈlaɪsɪs/; Greek: Λύσις, genitive case Λύσιδος, showing the stem Λύσιδ-, from which the infrequent translation Lysides), is a dialogue of Plato which discusses the nature of philia (φιλία), often translated as friendship, while the word's original content was of a much larger and more intimate bond.[1] It is generally classified as an early dialogue.
"
Guy Hocquenghem,"Guy Hocquenghem (French: [okɛ̃ɡɛm]; 10 December 1946[1] – 28 August 1988) was a French writer, philosopher, and queer theorist.
"
Susan Holbrook,"Susan Holbrook is a Canadian poet,[1] whose collection Throaty Wipes was shortlisted for the Governor General's Award for English-language poetry at the 2016 Governor General's Awards.[2]
"
Andrew Holleran,"Andrew Holleran is the pseudonym of Eric Garber (born 1943),[1] an American novelist, essayist, and short story writer, born and partly raised in Aruba, in the Dutch Caribbean. He is a prominent novelist of post-Stonewall gay literature. He was a member of The Violet Quill, a gay writer's group that met briefly from 1980-81. The Violet Quill included other prolific gay writers like Edmund White and Felice Picano.  Garber, who has historically been very protective of his privacy, uses ""Andrew Holleran"" as his pseudonym.
"
Alan Hollinghurst,"
"
Ike Holter,"Ike Holter (born 1985) is an American playwright.[1] He won a Windham–Campbell Literature Prize for drama in 2017.[2] Holter is a resident playwright at Victory Gardens Theater, and has been commissioned by The Kennedy Center, The Eugene O'Neill Theater Center, South Coast Repertory and The Playwrights' Center.[3]
"
Gerard Manley Hopkins,"
"
Horace,"
"
Leah Horlick,"Leah Horlick is a Canadian poet, who won the Dayne Ogilvie Prize for lesbian, gay, bisexual and transgender writers in 2016.[1]
"
Silas House,"Silas Dwane House[2] (born August 7, 1971) is an American writer best known for his novels. He is also a music journalist, environmental activist, and columnist. House's fiction is known for its attention to the natural world, working class characters, and the plight of the rural place and rural people.
"
Stephen Hough,"
Stephen Andrew Gill Hough, CBE
(/ˈhʌf/;[1] born 22 November 1961) is a British-born classical pianist, composer and writer.  He became an Australian citizen in 2005 and thus has dual nationality (his father was born in Australia in 1926).[2]
"
A. E. Housman,"
"
Richard Howard,"
Richard Joseph Howard (born October 13, 1929; adopted as Richard Joseph Orwitz) is an American poet, literary critic, essayist, teacher, and translator.  He was born in Cleveland, Ohio, and is a graduate of Columbia University, where he studied under Mark Van Doren,[1] and where he is an emeritus professor.  He lives in New York City.
"
James Howe,"James Howe (born August 2, 1946) is an American children's writer with more than 79 juvenile and young adult fiction books to his credit. He is known best for the Bunnicula series  about a vampire rabbit that sucks the juice out of vegetables.
"
Tanya Huff,"
"
Langston Hughes,"
"
Jay Hulme,"
"
Bo Huston,"Bo Huston (1959–1993)[1] was an American writer.[2]
"
Joris-Karl Huysmans,"Charles-Marie-Georges Huysmans (US: /wiːsˈmɒ̃s/,[1] French: [ʃaʁl maʁi ʒɔʁʒ ɥismɑ̃s]; 5 February 1848 – 12 May 1907) was a French novelist and art critic who published his works as Joris-Karl Huysmans (pronounced [ʒɔʁis kaʁl -], variably abbreviated as J. K. or J.-K.). He is most famous for the novel À rebours (1884, published in English as Against the Grain or Against Nature). He supported himself by way of a 30-year career in the French civil service.
"
Maureen Hynes,"Maureen Hynes is a Canadian poet.[1]
"
John Ibbitson,"John Ibbitson (born 1955 in Gravenhurst, Ontario) is a Canadian journalist.[1] Since 1999 he has been a political writer and columnist for The Globe and Mail.[2]
"
Nnanna Ikpo,"Nnanna Ikpo is a Nigerian writer.[1] He is most noted for his 2017 novel Fimí Sílẹ̀ Forever, which was a shortlisted Lambda Literary Award finalist for Gay Fiction at the 30th Lambda Literary Awards in 2018.[2]
"
George K. Ilsley,"George K. Ilsley (born 1958) is a Canadian writer.[1] He has published a collection of short stories, Random Acts of Hatred, which focuses on the lives of gay and bisexual men from childhood to early adulthood,[2] and a novel, ManBug.[3] His new memoir is The Home Stretch: A Father, a Son, and All the Things They Never Talk About (2020, Arsenal Pulp Press).
"
William Inge,"
"
Malcolm Ingram,"
"
Juana Inés de la Cruz,"Doña Inés de Asbaje y Ramírez de Santillana, better known as Sor Juana Inés de la Cruz[a] OSH (12 November 1648 – 17 April 1695)[1] was a Mexican writer, philosopher, composer and poet of the Baroque period, and Hieronymite nun. Her merit as a true master of the Spanish Golden Age gained her the nicknames of ""The Tenth Muse"" or ""The Phoenix of America"",[2] for she was probably the most accomplished author of the entire history of the Spanish Americas, and a flame that rose from the ashes of ""religious authoritarianism"".[3]
"
Christopher Isherwood,"
"
Arturo Islas,"Arturo Islas, Jr. (May 25, 1938 – February 15, 1991) was an English professor and novelist from El Paso, Texas, whose writing focused on the experience of Chicano cultural duality.
"
Harish Iyer,"
"
Tove Jansson,"
"
Derek Jarman,"
"
Alfred Jarry,"
"
Sarah Orne Jewett,"Theodora Sarah Orne Jewett (September 3, 1849 – June 24, 1909) was an American novelist, short story writer and poet, best known for her local color works set along or near the southern coast of Maine.  Jewett is recognized as an important practitioner of American literary regionalism.[1]
"
Geraldine Jewsbury,"
"
Craig Johnson,"Craig Johnson is an American screenwriter and film director.[1]
"
June Jordan,"June Millicent Jordan (July 9, 1936 – June 14, 2002) was an American poet, essayist, teacher, and activist. In her writing she explored issues of gender, race, immigration, and representation.[1][2]
"
Konrad Juengling,"Konrad Anders Juengling (German: Jüngling;[2] born 1987) is an American LGBT rights activist and writer. His activism focuses on equal rights for LGBT people, ethical consumerism, and supporting liberal politicians. The Huffington Post characterized Juengling's work as ""tech savvy queer activism.""[3]
"
Amanda Junquera Butler,"
"
Claude Jutra,"Claude Jutra (French pronunciation: ​[klod ʒytʁa]; March 11, 1930 – November 5, 1986) was a Canadian actor, film director, and screenwriter.[1]
"
Karin Kallmaker,"Karin Kallmaker (born 1960) is an American author of lesbian fiction whose works also include those originally written under the name Laura Adams. Her writings span lesbian romance, lesbian erotica, and lesbian science-fiction/fantasy. Dubbed the Queen of Lesbian Romance,[1] she publishes exclusively in the lesbian market as a matter of personal choice.[2]
"
Christopher Kelly,"Christopher Kelly is an American writer, who won the Lambda Literary Award for Gay Debut Fiction at the 20th Lambda Literary Awards in 2008 for his debut novel A Push and a Shove.[1]
"
Jonathan Kemp,"Jonathan Kemp (born 1967) is an English writer.[1] He has published two novels, London Triptych and Ghosting, as well as one short-story collection, Twentysix, to date.
"
Randall Kenan,"
"
Nina Kennedy,"Nina Gamble Kennedy (born 1960) is an American classical pianist, orchestral conductor, filmmaker, and writer.
"
Maurice Kenny,"Maurice Frank Kenny (August 16, 1929 – April 16, 2016) was a poet with strong ties to the Mohawk people.
"
Jack Kerouac,"
"
Gary Kinsman,"
"
Heinrich von Kleist,"Bernd Heinrich Wilhelm von Kleist (18 October 1777 – 21 November 1811) was a German poet, dramatist, novelist, short story writer and journalist. His best known works are the theatre plays Das Käthchen von Heilbronn, The Broken Jug, Amphitryon and Penthesilea, and the novellas Michael Kohlhaas and The Marquise of O. Kleist died by suicide together with a close female friend who was terminally ill.
"
Todd Klinck,"Todd Klinck is a Canadian writer, nightclub owner and pornography producer.
"
Tamai Kobayashi,"Tamai Kobayashi (born 1966 in Japan) is a Canadian writer, who won the Dayne Ogilvie Prize for LGBT writers in 2014.[1]
"
Wayne Koestenbaum,"Wayne Koestenbaum (born 1958) is an American artist, poet, and cultural critic. He received a B.A. from Harvard University, an M.A. from the Johns Hopkins Writing Seminars, and a Ph.D. from Princeton University and is a 1994 Whiting Award recipient. He received an American Academy of Arts and Letters Award in Literature in 2020.[1] He has published over 20 books to date.[2]
"
Bernard-Marie Koltès,"
"
Bill Konigsberg,"Bill Konigsberg is an American author, best known for his LGBT novels.  He wrote Out of the Pocket, Openly Straight, The Porcupine of Truth, Honestly Ben, and The Music of What Happens. He lives with his husband outside of Phoenix, Arizona.
"
Greg Kramer,"
"
Larry Kramer,"
"
Ellen Kushner,"Ellen Kushner (born October 6, 1955) is an American writer of fantasy novels. From 1996 until 2010, she was the host of the radio program Sound & Spirit, produced by WGBH in Boston and distributed by Public Radio International.[1]
"
Tony Kushner,"
"
Mikhail Kuzmin,"Mikhail Alekseevich Kuzmin (Russian: Михаи́л Алексе́евич Кузми́н) (October 18 [O.S. October 6] 1872 – March 1, 1936) was a Russian poet, musician and novelist, a prominent contributor to the Silver Age of Russian Poetry.
"
Lydia Kwa,"Lydia Kwa (born 1959 in Singapore)[1] is a Canadian writer and psychologist.
"
Lawrence La Fountain-Stokes,"
"
Kama La Mackerel,"Kama La Mackerel is a Mauritian-Canadian multidisciplinary artist, activist, translator, and community organizer who resides in Montreal, Quebec.[1] Their artistic practice moves between theatre, dance, spoken word and written poetry, watercolours, photography, performance, sculpture and installation.[2][3] Working across multiple disciplines, La Mackerel's work explores their identity as a trans femme of colour who reaches back beyond the immediate constraints of the colonial circumstances of their life to the spiritual ancestral lineages of queer femmes.[4]
"
Richard Labonté,"Richard Labonté (born 1949)[1] is a Canadian writer and editor, best known as the editor or co-editor of numerous anthologies of LGBT literature.[2]
"
Edward A. Lacey,"Edward A. Lacey (1938-1995)[1] was a Canadian poet and translator, who was credited with publishing the first openly gay-identified collection of poetry in the history of Canadian literature.[1]
"
Ben Ladouceur,"Ben Ladouceur (born 1987) is a Canadian writer,[1] whose poetry collection Otter was a shortlisted nominee for the Lambda Literary Award for Gay Poetry at the 28th Lambda Literary Awards[2] and won the Gerald Lampert Award in 2016.[3]
"
Jean-Luc Lagarce,"
"
Selma Lagerlöf,"Selma Ottilia Lovisa Lagerlöf (/ˈlɑːɡərlɜːf, -lɜːv/, US also /-lʌv, -ləv/,[1][2] Swedish: [ˈsɛ̂lːma ˈlɑ̂ːɡɛˌɭøːv] (listen); 20 November 1858 – 16 March 1940) was a Swedish author and teacher. She published her first novel, Gösta Berling's Saga, at the age of 33. She was the first woman to win the Nobel Prize in Literature, which she was awarded in 1909. Additionally, she was the first woman to be granted a membership in the Swedish Academy in 1914.[3]
"
Lori L. Lake,"Lori L. Lake (born February 9, 1960) is an American writer of fiction, mainly about lesbian protagonists. She is also an editor, instructor, publisher, and reviewer.
"
Kevin Lambert,"Kevin Lambert (born 1992) is a Canadian writer from Quebec.[1] He is most noted for his novel Querelle de Roberval, which won the Prix Ringuet in 2019.[2]
"
Michael Lannan,"Michael Lannan is an American screenwriter and producer. He is known as a creator and producer of the HBO series Looking.[1] The series, about a group of gay friends in San Francisco inspired by Lannan's own life as a gay man,[2] is based on Lorimer, a short film which Lannan produced and directed in 2011 and subsequently expanded into a feature film screenplay.[3]
"
Benjamin Law,"
"
D. H. Lawrence,"
"
David Leavitt,"David Leavitt (/ˈlɛvɪt/; born June 23, 1961) is an American novelist, short story writer, and biographer.
"
Violette Leduc,"
"
John Alan Lee,"John Alan Lee (August 24, 1933 - December 5, 2013) was a Canadian writer, academic and political activist, best known as an early advocate for LGBT rights in Canada,[1] for his academic research into sociological and psychological aspects of love and sexuality, and for his later-life advocacy of assisted suicide and the right to die.[2]
"
Vernon Lee,"
"
Konstantin Leontiev,"Konstantin Nikolayevich Leontiev, monastic name: Clement[1] (Russian: Константи́н Никола́евич Лео́нтьев; January 25, 1831 in Kudinovo, Kaluga Governorate – November 24, 1891 in Sergiyev Posad) was a conservative tsarist and imperial monarchist Russian philosopher who advocated closer cultural ties between Russia and the East against what he believed to be the West's catastrophic egalitarian, utilitarian and revolutionary influences. He also advocated Russia's cultural and territorial expansion eastward to India, Tibet and China.
"
Robert Lepage,"Robert Lepage, CC OQ (born December 12, 1957) is a Canadian playwright, actor, film director, and stage director.
"
Douglas LePan,"Douglas Valentine LePan OC FRSC (25 May 1914 – 27 November 1998) was a Canadian diplomat, poet, novelist and professor of literature.
"
Alex Leslie,"Alex Leslie is a Canadian writer, who won the Dayne Ogilvie Prize for LGBT writers from the Writers Trust of Canada in 2015.[1] Leslie's work has won a National Magazine Award, the CBC Literary Award for fiction, the Western Canadian Jewish Book Award and has been shortlisted for the BC Book Prize for fiction (the Ethel Wilson Prize) and the Kobzar Prize for contributions to Ukrainian Canadian culture, as one of the prize's only Jewish nominees.
"
David Levithan,"David Levithan (born September 7, 1972) is an American young adult fiction author and editor.[1]  His first book, Boy Meets Boy, was published by Knopf Books for Young Readers in 2003.[1] He has written numerous works featuring strong male gay characters, most notably Boy Meets Boy and Naomi and Ely's No Kiss List.[2]
"
Matthew G. Lewis,"
"
José Lezama Lima,"José Lezama Lima (December 19, 1910 – August 9, 1976) was a Cuban writer and poet who is considered one of the most influential figures in Latin American literature.
"
Ali Liebegott,"Lambda Literary Award – Women's fiction 2008 The IHOP Papers 
Lambda Literary Award – Lesbian debut fiction 2006 The Beautifully Worthless 
"
Earl Lind,"
Jennie June was one of the earliest transgender individuals to publish an autobiography in the United States.[1][2]
"
Eddie Linden,"Eddie Linden (born John Edward Glackin; 5 May 1935), also known as Eddie S. Linden, is a Scottish poet, literary magazine editor and political activist. From 1969 to 2004, he published and edited the poetry magazine Aquarius, which, according to The Irish Post, made him ""one of the leading figures on the international poetry scene"". The journal was significant in the growth of British, Irish and international poets, and has been described as Linden's ""crowning gift to literature — the nurturing and developing of poetic talent"".[1][2]
"
Lynette Loeppky,"Lynette Loeppky is a Canadian writer, who published the memoir Cease in 2015.[1] The book, a memoir of her experience when her partner Cecile Kaysoe was diagnosed with terminal cancer at a time when Loeppky was dissatisfied with and considering leaving the relationship, was a shortlisted nominee for the Lambda Literary Award for Lesbian Memoir/Biography at the 27th Lambda Literary Awards,[2] the Writers' Guild of Alberta's Wilfrid Eggleston Award for Nonfiction, and the Hilary Weston Writers' Trust Prize for Nonfiction.[3]
"
Audre Lorde,"
"
Michael Lowenthal,"Michael Lowenthal is an American fiction writer, author of four novels, most recently The Paternity Test, (University of Wisconsin Press, 2012). Currently an instructor of creative writing at Lesley University,[1] he has been the recipient of fellowships from the Bread Loaf and Wesleyan writers' conferences, the Massachusetts Cultural Council, the New Hampshire State Council on the Arts, and the Hawthornden International Retreat for Writers. His short stories have appeared in literary journals and magazines including The Kenyon Review, Tin House, and Esquire.[2][3][4]
"
Ed Luce,"Ed Luce is an American cartoonist, best known for his indie comics series Wuvable Oaf.[1] The series focuses on Oaf Jadwiga, a bearish gay ex-wrestler looking for love.[2] Originally funded by a grant from Prism Comics, it was self-published in five standalone chapters[3] until being compiled in graphic novel form by Fantagraphics Books in 2015.[4]
"
Michael Lynch,"Michael Lynch (1944 – July 9, 1991) was an American-born Canadian professor, journalist, and activist,[1] most noted as a pioneer of gay studies in Canadian academia and as an important builder of many significant LGBT rights and HIV/AIDS organizations in Toronto.[1]
"
Elizabeth A. Lynn,"Elizabeth A. Lynn (born 1946) is a US writer most known for fantasy and to a lesser extent science fiction.  She is particularly known for being one of the first writers in science fiction or fantasy to introduce gay and lesbian characters; in honor of Lynn, the widely known California and New York-based chain of LGBT bookstores A Different Light took its name from her novel.[1] She is a recipient of the World Fantasy Award—Novel.
"
Ann-Marie MacDonald,"
"
Bryden MacDonald,"Bryden MacDonald (born October 30, 1960 in Glace Bay, Nova Scotia)[1] is a Canadian playwright.
"
Lee MacDougall,"Lee MacDougall is a Canadian actor, writer and theatre director.[1] Originally from Kirkland Lake, Ontario,[2] he studied at the University of Toronto and Ryerson University before launching his career as an actor.[1]
"
Daniel MacIvor,"Daniel MacIvor (born July 23, 1962) is a Canadian actor, playwright, theatre director, and film director. He is probably best known for his acting roles in independent films and the sitcom Twitch City.
"
John Henry Mackay,"
"
Bennett Madison,"Bennett Madison (born March 28, 1981) is an American author.
"
Gregory Maguire,"
"
Anand Mahadevan,"
"
Louise Maheux-Forcier,"Louise Maheux-Forcier (June 9, 1929 – February 5, 2015) was a Quebec author.[1][2]
"
Klaus Mann,"
"
Thomas Mann,"
"
David Charles Manners,"David Charles Manners (born 1965) is a British writer published in four languages.  He is a representative for the charity Diversity Role Models,[1][2] and the co-founder of Sarvashubhamkara,  a charity that provides medical care, education and human contact to socially excluded individuals and communities on the Indian subcontinent, most of whom are affected by the stigma of leprosy.[3][4]
"
Jaime Manrique,"Jaime Manrique (born 16 June 1949) is a bilingual Colombian American novelist, poet, essayist, educator, and translator.
"
Blaine Marchand,"Blaine Marchand (born 1949 in Ottawa, Ontario) is a Canadian writer.[1] Marchand has published poetry, non-fiction and a novel.
"
Jovette Marchessault,"Jovette Marchessault (French: [ʒɔvɛt maʁʃeso]) (February 9, 1938 – December 31, 2012)[1] was a Canadian writer and artist from Quebec, who worked in a variety of literary and artistic domains including novels, poetry, drama, painting and sculpture. An important pioneer of lesbian and feminist literature and art in Canada,[2] many of her most noted works were inspired by other real-life women in literature and art, including Violette Leduc, Gertrude Stein and Alice B. Toklas, Emily Carr, Anaïs Nin and Helena Blavatsky.[3]
"
Daphne Marlatt,"Daphne Marlatt, born Buckle, CM (born July 11, 1942 in Melbourne, Australia), is a Canadian poet and novelist who lives in Vancouver, British Columbia.[1]
"
Douglas A. Martin,"Douglas A. Martin (born September 29, 1973) is an American poet, a novelist and a short story writer.
"
Paula Martinac,"
"
Richard Mason,"
"
Blair Mastbaum,"Blair Mastbaum is an American writer and a former model who lives in Brooklyn, New York.
"
Nemir Matos-Cintrón,"Nemir Matos-Cintrón is a Puerto Rican author who resides in Florida. She has published several books of poetry and parts of a novel. She has openly thematized her lesbianism in much of her work.[1][2]
"
F. O. Matthiessen,"Francis Otto Matthiessen (February 19, 1902 – April 1, 1950) was an educator, scholar and literary critic influential in the fields of American literature and American studies.[1]  His best known work, American Renaissance: Art and Expression in the Age of Emerson and Whitman, celebrated the achievements of several 19th-century American authors and had a profound impact on a generation of scholars. It also established American Renaissance as the common term to refer to American literature of the mid-nineteenth century. Matthiessen was known for his support of liberal causes and progressive politics. His contributions to the Harvard University community have been memorialized in several ways, including an endowed visiting professorship.
"
W. Somerset Maugham,"
"
Armistead Maupin,"
"
Tawiah M'carthy,"Tawiah Ben M'Carthy is a Ghanaian-born Canadian actor and playwright.[1] He is best known for his 2012 play Obaaberima, a one-man play about growing up gay in Ghana.[1]
"
Richard McCann,"Richard John McCann was a writer of fiction, nonfiction, and poetry. He lived in Washington, D.C., where he was a longtime professor in the MFA Program in Creative Writing at American University.
"
Barry McCrea,"Barry McCrea (born 15 October 1974) is an Irish writer and academic.  He grew up in Dalkey, County Dublin, and was educated at the Jesuit Gonzaga College, and Trinity College, Dublin (1993–1997) where he studied French and Spanish literature. He received a Ph.D. from Princeton University in 2004.  He taught Comparative Literature at Yale University, where he was appointed full professor in 2012.  He is currently professor of literature at the University of Notre Dame.
"
Carson McCullers,"
"
Val McDermid,"
"
Keith McDermott,"Keith McDermott (born September 28, 1953) is an American actor, theater director, and writer.
"
Michael McDowell,"Michael McEachern McDowell (June 1, 1950 – December 27, 1999) was an American novelist and screenwriter described by author Stephen King as ""the finest writer of paperback originals in America today"".[1][2] His best-known work is the screenplay for the Tim Burton film Beetlejuice.
"
Peter McGehee,"Peter Gregory McGehee[1] (October 6, 1955 – September 13, 1991)[2] was an American-born Canadian novelist, dramatist and short story writer.[2]
"
Fiona McGregor,"
"
Vestal McIntyre,"Vestal McIntyre is an American author currently based in the UK. He was born in Nampa, Idaho, and educated at Tufts University, Massachusetts.[1] His first collection of short stories, You Are Not the One, was published by the independent Scottish publisher Canongate in 2006.[1] His follow-up book, Lake Overturn, was published in 2009,[2] and won the GrubStreet National Book Prize and the Lambda Literary Award for Gay Fiction.
"
Terrence McNally,"
"
Lída Merlínová,"
"
Mark Merlis,"Mark Merlis (March 9, 1950 – August 15, 2017[1]) was an American writer and health policy analyst.[2][3]
"
James Merrill,"James Ingram Merrill (March 3, 1926 – February 6, 1995) was an American poet.  He was awarded the Pulitzer Prize for poetry in 1977 for Divine Comedies. His poetry falls into two distinct bodies of work: the polished and formalist lyric poetry of his early career, and the epic narrative of occult communication with spirits and angels, titled The Changing Light at Sandover (published in three volumes from 1976 to 1980), which dominated his later career. Although most of his published work was poetry, he also wrote essays, fiction, and plays.
"
Charlotte Mew,"
"
Shayne Michael,"Shayne Michael is a Wolastoqiyik (Maliseet) poet from Canada.[1] He is most noted for his 2020 poetry collection Fif et sauvage, which was the winner in the French poetry category at the 2021 Indigenous Voices Awards.[2]
"
Grant Michaels,"Grant Michaels is the pen name of Michael Mesrobian (1947 – July 2, 2009),[1][2] an American writer of mystery novels.[3] He published six novels with St. Martin's Press in the 1990s, centering on Stan Kraychik, a gay hairdresser turned amateur detective.[2] All six novels were shortlisted Lambda Literary Award finalists in the Gay Mystery category.[4]
"
Michelangelo,"
"
Stevie Mikayne,"Stevie Mikayne is a Canadian writer of mystery novels.[1] She is a two-time Lambda Literary Award nominee in the Lesbian Mystery category, for UnCatholic Conduct at the 27th Lambda Literary Awards[2] and for Illicit Artifacts at the 28th Lambda Literary Awards.[3]
"
Edna St. Vincent Millay,"
"
Isabel Miller,"
"
Roswell George Mills,"Roswell George Mills (1896 - 1966) was a Canadian journalist, poet and magazine publisher. A friend and colleague of poet Elsa Gidlow,[1] he is the first known gay man in Canadian history whose life and sexual orientation is attested through biographical literature rather than court records of a sodomy trial.[2]
"
John Milton,"
"
Yukio Mishima,"
"
Sylvia Molloy,"Sylvia Molloy (born 19 August 1938) is an Argentine professor, author, editor and essayist based in New York. She was one of the pioneers in dealing with LGBT culture issues in her literary works and in studying autobiography as a genre.
"
Paul Monette,"
"
Carlos Monsiváis,"Carlos Monsiváis Aceves (May 4, 1938 – June 19, 2010) was a Mexican  writer, critic,  political activist,[2] and journalist.[3][4] He also wrote political opinion columns in leading newspapers    within the country's progressive sectors.[5] His generation of writers includes Elena Poniatowska, José Emilio Pacheco, and Carlos Fuentes.[2][6] Monsiváis won more than 33 awards, including the 1986 Jorge Cuesta Prize (named after a fellow writer about whom he wrote a book),[5] the 1989 Mazatlán Prize, and the 1996 Xavier Villaurrutia Award.[2] Considered a leading intellectual of his time, Monsiváis documented contemporary Mexican themes, values, class struggles, and societal change in his essays, books and opinion pieces.[3][6][7][8] He was a staunch critic of the long-ruling Partido Revolucionario Institucional (PRI), leaned towards the left-wing, and was ubiquitous in disseminating his views on radio and television.[9][10] As a founding member of ""Gatos Olvidados"", Monsiváis wanted his and other ""forgotten cats"" to be provided for beyond his lifetime.[11][12]
"
Shani Mootoo,"Shani Mootoo, writer, visual artist and video maker, was born in Dublin, Ireland, in 1957 to Trinidadian parents. She grew up in Trinidad and relocated at the age of 19 to Vancouver, British Columbia, Canada. She currently lives in Toronto, Ontario, Canada.
"
Cherríe Moraga,"
"
Ethan Mordden,"Ethan Mordden (born 1947)[1] is a prolific American author and musical theater researcher.
"
César Moro,"
"
Erwin Mortier,"
"
Erín Moure,"
"
Cherry Muhanji,"Cherry Muhanji is the pen name of Jeannette Delaine Washington (born April 26, 1939 in Detroit, Michigan), an American writer.[1]
"
Manuel Mujica Láinez,"
"
Mirjam Müntefering,"Mirjam Müntefering (born  January 29, 1969 in Arnsberg, North Rhine-Westphalia) is a German author and a lesbian.[1]
"
Hasan Namir,"Hasan Namir (born 1987) is an Iraqi-Canadian writer,[1] whose debut novel God in Pink won the Lambda Literary Award for Gay Fiction at the 28th Lambda Literary Awards.[2]
"
Nathanaël,"Nathanaël (born 1970 in Montreal) is a Canadian writer, literary translator and educator. Some of her works have been published under her legal name Nathalie Stephens. She lives in Chicago.[1]
"
Michael Nava,"Michael Angel Nava (born September 16, 1954 in Stockton, California) is an American attorney and writer. He has worked on the staff for the California Supreme Court, and ran for a Superior Court position in 2010.  He authored a ten-volume mystery series featuring Henry Rios, an openly gay protagonist who is a criminal defense lawyer. His novels have received six Lambda Literary Awards and critical acclaim in the GLBT and Latino communities.[2][3]
"
Abdi Nazemian,"Abdi Nazemian is an Iranian-American author, screenwriter, and producer whose debut novel The Walk-In Closet won the Lambda Literary Award for Debut Fiction at the 27th Lambda Literary Awards in 2015.[1]
"
Frances Negrón-Muntaner,"Frances Negrón-Muntaner [note 1] (born 1966) is a Puerto Rican filmmaker, writer, and scholar. Her work is focused on a comparative exploration of coloniality, primarily in Puerto Rico and the United States, with special attention given to the intersections between race, ethnicity, gender, sexuality and politics.  She is an associate professor of English and Comparative Literature and Director of the Center for the Study of Ethnicity and Race at Columbia University in New York City.[1] She has also contributed to the Huffington Post, El Diario/La Prensa, and 80 Grados, and since 2008 has served as a Global Expert for the United Nations Rapid Response Media Mechanism. She is one of the best-known Puerto Rican lesbian artists currently living in the United States.[2]
"
Luis Negrón,"Luis Negrón (born 1970 in Guayama, Puerto Rico) is a Puerto Rican writer.
"
Patrick Ness,"
"
Anaïs Nin,"Angela Anaïs Juana Antolina Rosa Edelmira Nin y Culmell (February 21, 1903 – January 14, 1977) (/ˌænaɪˈiːs ˈniːn/,[1] French: [ana.is nin]), was a French-Cuban-American diarist, essayist, novelist and writer of short stories and erotica. Born to Cuban parents in France, Nin was the daughter of composer Joaquín Nin and Rosa Culmell, a classically trained singer. Nin spent her early years in  Spain and Cuba, about sixteen years in Paris (1924–1940), and the remaining half of her life in the United States, where she became an established author.
"
Salvador Novo,"
"
Katia Noyes,"Katia Noyes is an American author whose works have appeared in many publications and anthologies. Her debut novel, Crashing America, was a Book Sense Notable Book in 2005,[1] and was chosen as one of the Ten Best Gay/Lesbian Books of 2005 by Amazon.com[2] and the UK's Rainbow Network.
"
Achy Obejas,"Achy Obejas (born June 28, 1956) is a Cuban-American writer and translator focused on personal and national identity issues,[1] living in Oakland, California. She frequently writes on her sexuality and nationality, and has received numerous awards for her creative work. Obejas' stories and poems have appeared in Prairie Schooner, Fifth Wednesday Journal, TriQuarterly, Another Chicago Magazine and many other publications. Some of her work was originally published in Esto no tiene nombre, a Latina lesbian magazine published and edited by tatiana de la tierra, which gave voice to the Latina lesbian community.[2] Obejas worked as a journalist in Chicago for more than two decades. For several years, she was also a writer in residence at the University of Chicago, University of Hawaii, DePaul University, Wichita State University, and Mills College in Oakland, California. She is currently a writer/editor for Netflix on the bilingual team in the Product Writing department.
"
