Name,Lifetime,Nationality,Genre,Notable works,References
Maurice Sendak,1928–2012,American,children's writer,Where the Wild Things Are,[369]
Anna Seward,1742–1809,English,poet,Louisa,[9]
Ken Shakin,b. 1959,American,short story writer,"""Love Sucks""",[9]
Merry Shannon,b. 1979,American,novelist,"Sword of the Guardian, Branded Ann",[370]
Bradford Shellhammer,b. 1976,American,blogger and editor,Founding editor of Queerty,[371][372]
Lorimer Shenher,b. ?,Canadian,non-fiction,"That Lonely Section of Hell, This One Looks Like a Boy",[166]
Reginald Shepherd,1963-2008,American,poet,Some Are Drowning,[373]
Randy Shilts,1951–1994,American,journalist,"The Mayor of Castro Street: The Life and Times of Harvey Milk, And the Band Played on: Politics, People, and the AIDS Epidemic",[9]
Vivek Shraya,b. 1981,Canadian,short story writer,"God Loves Hair, She of the Mountains",[374]
jaye simpson,b. ?,Canadian,poet,it was never going to be okay,[375]
Andy Sinclair,b. ?,Canadian,"novelist, short stories",Breathing Lessons,[376]
Edith Sitwell,1887–1964,English,poet,"""Still Falls the Rain"" (poem)",[9]
Michael Sledge,b. ?,American,"novelist, memoirist",The More I Owe You,[377]
Ali Smith,1962-,Scottish,novelist,Free Love and Other Stories,[378]
Michael V. Smith,b. ?,Canadian,"novelist, poet",Cumberland,[379]
K. M. Soehnlein,b. ?,American,novelist,"The World of Normal Boys, You Can Say You Knew Me When",[109]
Kamal Al-Solaylee,b. 1964,Yemeni-Canadian,"journalist, memoirist",Intolerable: A Memoir of Extremes,[380]
Pablo Soler Frost,b. 1965,Mexican,"novelist, essayist",Malebolge,[381]
Susan Sontag,1933–2004,American,"novelist, essayist",AIDS and Its Metaphors,[9]
Tom Spanbauer,b. 1946?,American,novelist,The Man Who Fell in Love with the Moon,[382]
Sir Stephen Spender,1909–1995,English,"novelist, poet, essayist",Poems,[9]
Jack Spicer,1925–1965,American,poet,My Vocabulary Did This to Me: The Collected Poetry of Jack Spicer,[9]
Rae Spoon,b. ?,Canadian,short story writer,"First Grass Spring Fire, superioryouareinferior, My Prairie Home",[383]
Gertrude Stein,1874–1946,American,novelist,The Autobiography of Alice B. Toklas,[9]
Andreas Steinhöfel,b. 1962,German,"novelist, author for children and teenagers",The Center of the World,[384]
Ian Stephens,1955–1996,Canadian,poet,Diary of a Trademark,[385]
Kent Stetson,b. 1948,Canadian,playwright,"Warm Wind in China, As I Am",[98]
Susan Stinson,b. ?,American,novelist,Venus of Chalk,[386]
John Elizabeth Stintzi,b. ?,Canadian,"novelist, poet","Vanishing Monuments, Junebat",[387]
Charles Warren Stoddard,1843–1909,American,"poet, journalist",Travel books about Polynesian life,[9]
Aryeh Lev Stollman,b. 1954,Canadian-American,"novelist, short story writer",The Far Euphrates,[388]
Lytton Strachey,1880–1932,English,biographer,Queen Victoria (biography),[9]
Allan Stratton,b. 1951,Canadian,playwright,Rexy,[160]
Susan Stryker,b. 1961,American,historian,Transgender History (2008),[389]
Douglas Stuart,b. 1976,Scottish-American,novelist,Shuggie Bain,[390]
Howard Sturgis,1855–1920,Anglo-American,novelist,"Tim: A Story of School Life, All That Was Possible",[9]
Algernon Swinburne,1837–1909,English,poet,Poems and Ballads,[9]
John Addington Symonds,1840–1893,British,"poet, literary critic",Renaissance in Italy,[9]
Scott Symons,1933-2009,Canadian,novelist,"Place d'Armes, Civic Square, Helmet of Flesh",[6]
Shawn Syms,b. 1970,Canadian,"journalist, short stories",Nothing Looks Familiar,[391]
Proma Tagore,b. ?,Indian/Canadian,poetry,language is not the only thing that breaks,[392]
Mutsuo Takahashi,b. 1937,Japanese,poetry,"Rose Tree, Fake Lovers",[9]
Mariko Tamaki,b. 1975,Canadian,graphic novelist,Skim,[393]
Jordan Tannahill,b. 1988,Canadian,playwright,"Get Yourself Home Skyler James, Peter Fechter: 59 Minutes, rihannaboi95",[394]
Joelle Taylor,b. 1967,British,poet and playwright,"The Woman Who Was Not There, Songs My Enemy Taught Me",[395]
Valerie Taylor,1913–1997,American,novelist and poet,"The Lusty Land, Whisper Their Love, The Girls in 3-B, Stranger on Lesbos, A World Without Men, Return to Lesbos",[396]
Michelle Tea,b. 1971,American,"author, poet, and literary arts organizer",The Passionate Mistakes and Intricate Corruption of One Girl in America,[397]
Sara Teasdale,1884–1933,American,"writer, poet","Flame and Shadow, Love Song",[9]
Richard Teleky,b. 1946,American-Canadian,"novelist, poet, short stories, essays","The Paris Years of Rosie Kamin, Pack Up the Moon",[18]
Kai Cheng Thom,b. ?,Canadian,"poet, novelist","a place called No Homeland, Fierce Femmes and Notorious Liars",[59]
Colin Thomas,b. ?,Canadian,playwright,"One Thousand Cranes, Two Weeks Twice a Year, Flesh and Blood, Sex Is My Religion",[184]
Sara Tilley,b. ?,Canadian,"novelist, playwright","Skin Room, Duke",[398]
James Tiptree Jr. (pseudonym of Alice Sheldon),1917–1987,American,science fiction writer,"Houston, Houston, Do You Read?, Her Smoke Rose Up Forever",[399][400][401]
Colm Tóibín,b. 1955,Irish,novelist and short story writer,The Heather Blazing,[402]
Peterson Toscano,b. 1965,American,playwright,Time in the Homo No Mo Halfway House,[335]
Paul Toupin,1918-1993,Canadian,"playwright, memoirist, essayist","Brutus, Souvenirs pour demain",[95]
Matthew J. Trafford,b. ?,Canadian,short stories,The Divinity Gene,[403]
Michel Tremblay,b. 1942,Canadian,"playwright, novelist","Hosanna, Les Belles-sœurs, The Heart Laid Bare, Albertine in Five Times",[6][9][18]
Roland Michel Tremblay,b. 1972,Canadian,novelist,Waiting for Paris,[404]
Mary L. Trump,b. 1965,American,author,Too Much and Never Enough,[405]
Christos Tsiolkas,b. 1965,Australian,novelist,The Slap,[146]
Marina Tsvetaeva,1892–1941,Russian,poet,"Remeslo, Posle Rossii",[9]
Aren X. Tulchinsky,b. ?,Canadian,"novelist, screenwriter",The Five Books of Moses Lapinsky,[406]
Arielle Twist,b. ?,Canadian,poet,Disintegrate / Dissociate,[407]
Karl Heinrich Ulrichs,1825-1895,German,non-fiction,Research on the Riddle of Man-Manly Love,[408]
Luz María Umpierre,b. 1947,Puerto Rican,poetry,The Margarita Poems,[8][22][25]
Fernando Vallejo,b. 1942,Colombian,novelist,Our Lady of the Assassins,[8]
Ruth Vanita,b. 1955,Indian,academic,"Sappho and the Virgin Mary...Imagination, Queering India...and the West",[409][410]
Marlene van Niekerk,b. 1954,South African,author,Triomf,[411]
R. M. Vaughan,1965–2020,Canadian,"poet, novelist, playwright",A Quilted Heart,[412]
Sándor Vay,1859–1918,Hungarian,"journalist, chronicler",Gróf Vay Sándor munkái,[413]
Carl Van Vechten,1880–1964,American,"novelist, photographer",Nigger Heaven,[9]
Valeria Vegas,b. 1985,Spanish,"novelist, essayist",¡Digo! Ni puta ni santa. Las memorias de La Veneno (2015),[414]
Paul Verlaine,1844–1896,French,poet,Libretti for Vaucochard et Fils 1er and Fisch-Ton-Kan,[9]
Théophile de Viau,1590–1626,French,poet,Fragment d'une histoire comique,[9]
Gore Vidal,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
Xavier Villaurrutia,1903–1950,Mexican,"playwright, poet",Autos profanos,[8]
David Viñas,b. 1929,Argentine,"novelist, dramatist",Un Dios Cotidiano,[8]
Virgil,70-19 B.C.,Roman,poet,Aeneid,[9]
Renée Vivien,1877–1909,Anglo-French,poet,Cendres et Poussières,[9]
Bruno Vogel,1898–1983,German,"novelist, short stories",Alf,[9]
Paula Vogel,b. 1951,American,playwright,How I Learned to Drive,[415]
Rinaldo Walcott,b. 1965,Canadian,"academic, cultural studies",Black Like Who?: Writing Black Canada,[416]
Alice Walker,b. 1944,American,fiction,The Color Purple,[9]
Betsy Warland,b. 1946,American-Canadian,"poetry, non-fiction",Breathing the Page: Reading the Act of Writing,[9]
Sylvia Townsend Warner,1893–1978,English,"novelist, poet, activist",A Moral Ending and Other Stories,[9]
Patricia Nell Warren,b. 1936,American,fiction,The Front Runner,[9]
Bryan Washington,b. 1993,American,fiction,"Lot, Memorial",[417]
Sarah Waters,b. 1966,British,fiction,"Tipping the Velvet, Affinity, The Night Watch",[418]
David Watmough,b. 1926,British-Canadian,"fiction, plays",Collected Shorter Fiction of David Watmough: 1972–82,[419]
Evelyn Waugh,1903–1966,English,fiction,Brideshead Revisited,[420]
Thomas Waugh,b. 1948,Canadian,"academic, art and film critic","Out/Lines: Underground Gay Graphics From Before Stonewall, Lust Unearthed: Vintage Gay Graphics from the DuBek Collection",[421]
Jessica L. Webb,b. ?,Canadian,mysteries,"Pathogen, Repercussions",[422]
Barry Webster,b. 1961,Canadian,fiction,The Lava in My Bones,[423]
John Weir,b. 1959,American,"novelist, journalist","The Irreversible Decline of Eddie Socket, What I Did Wrong",[424]
Denton Welch,1915–1948,English,"writer, painter",Maiden Voyage,[9]
Robert Westfield,b. 1972,American,novelist,Suspension,[425]
Edmund White,b. 1940,American,fiction,"A Boy's Own Story, The Beautiful Room Is Empty",[39]
Patrick White,1912–1990,Australian,fiction,Flaws in the Glass,[9]
Joshua Whitehead,b. ?,Canadian,"poet, novelist","Full-Metal Indigiqueer, Johnny Appleseed",[426]
William Whitehead,1931-2018,Canadian,"television/radio documentaries, memoirist",Words to Live By,[427]
Walt Whitman,1819–1892,American,poet,Leaves of Grass,[9]
Zoe Whittall,b. 1976,Canadian,fiction,"Bottle Rocket Hearts, Holding Still for As Long As Possible",[220]
Oscar Wilde,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
Thornton Wilder,1897–1975,American,"fiction, plays",Our Town,[428]
Michael Willhoite,b. 1948,American,children's literature,Daddy's Roommate,[429]
Jonathan Williams,1929–2008,American,poet,Jubilant Thicket: New and Selected Poems,[9]
Tennessee Williams,1911–1983,American,playwright,"A Streetcar Named Desire, Cat on a Hot Tin Roof",[9]
Angus Wilson,1913–1991,English,author,Hemlock and After,[9]
Douglas Wilson,1950-1992,Canadian,"journalist, novelist",Labour of Love,[430]
Jacqueline Wilson,b. 1945,English,novelist,"The Story of Tracy Beaker, Double Act, Hetty Feather",[431]
Jonathan Wilson,b. ?,Canadian,actor and playwright,My Own Private Oshawa,[432]
Martin Wilson,b. 1973,American,fiction,What They Always Tell Us,[433]
Jia Qing Wilson-Yang,b. ?,Canadian,novelist,Small Beauty,[434]
Johann Joachim Winckelmann,1717–1768,German,"historian, archaeologist",Geschichte der Kunst des Alterthums (The History of Art in Antiquity,[9]
Donald Windham,1920-2010,American,novelist and memoirist,The Dog Star,[9]
Christa Winsloe,1888–1944,German,fiction,Yesterday and Today,[9]
Jeanette Winterson,b. 1959,English,fiction,Oranges Are Not the Only Fruit,[9]
Monique Wittig,1935–2003,French,philosopher,Le Corps Lesbien,[9]
Rita Wong,b. 1968,Canadian,poet,monkeypuzzle,[220]
Alan Woo,b. ?,Canadian,"poet, short stories, children's literature",Maggie's Chopsticks,[435]
Jaime Woo,b. ?,Canadian,non-fiction,Meet Grindr,[436]
Marnie Woodrow,b. 1969,Canadian,novelist,Spelling Mississippi,[437]
Virginia Woolf,1882–1941,English,novelist,Orlando: A Biography,[9]
Bart Yates,b. 1962,American,novelist,"Leave Myself Behind, Brothers Bishop, The Distance Between Us",[109]
d'bi young,b. ?,Canadian,"poet, playwright","rivers and other blackness between us, word! sound! powah, blood.claat: one womban story",[438]
Ian Young,b. 1945,Canadian,"poet, non-fiction","The Gay Muse, The Male Homosexual in Literature",[18][439]
Perry Deane Young,b. 1941,American,"journalist, playwright","Two of the Missing, The David Kopay Story",[440]
Marguerite Yourcenar,1903–1987,French,novelist,Memoirs of Hadrian,[9]
Josée Yvon,1950-1994,Canadian,"playwright, poet","Danseuse-mamelouk, Maîtresses-Cherokees",[441]
Luis Zapata,b. 1951,Mexican,novelist,De pétalos perennes (Perennial Petals),[8][9]
Eve Zaremba,b. 1930,Polish/Canadian,mystery novelist,"A Reason to Kill, The Butterfly Effect",[6]
Jerzy Zawieyski,1902-69,Polish,"poetry, novels","Gdzie jesteś, przyjacielu",[442]
Fiona Zedde,b. 1976,Jamaican-American,novelist,Bliss,[443]
"Cyd Zeigler, Jr.",b. 1973,American,sportswriter,The Outsports Revolution: Truth and Myth in the World of Gay Sports,[444]
Alexander Ziegler,1944-87,Swiss,"journalist, novelist",Die Konsequenz,[445]
Richard Zimler,b. 1956,American/Portuguese,novelist,"The Last Kabbalist of Lisbon, Hunting Midnight, The Search for Sana, The Seventh Gate, The Warsaw Anagrams",[446]
Robert D. Zimmerman,b. 1952,American,mystery,"Closet, Outburst",[447]
Narcyza Żmichowska,1819-76,Polish,"poetry, novels",The Heathen,[448]
Rachel Zolf,b. 1968,Canadian,poet,"Masque, Human Resources",[449]
Daniel Zomparelli,b. ?,Canadian,"poet, short stories",Everything Is Awful and You're a Terrible Person,[450]
Mark Richard Zubro,b. ?,American,mystery,Tom and Scott mystery series,[451]
Peter Zuckerman,b. 1973,American,journalist,Buried in the Sky,[452]
Harriet Sohmers Zwerling,b. 1928,American,"short stories, translation, essays",Notes of a Nude Model,[453]
