name,bio
Michael Sledge,"Michael Sledge is an  writer. His 2010  The More I Owe You, about the relationship between  and , won the  in 2011 and was a shortlisted nominee for the  in the Lesbian Debut Fiction category at the .
"
Ali Smith,"
"
Michael V. Smith,"Michael V. Smith is a  novelist, poet and filmmaker, originally from  and now living in , . His , Cumberland, was nominated for the  in 2002. He has also been a nominee for the  and the inaugural winner of the , and has published two books of poetry, What You Can't Have and Body of Text, and a memoir, My Body Is Yours.
"
K. M. Soehnlein,"
Karl Soehnlein better known by his literary name K. M. Soehnlein is an American writer who wrote the novels  and . He was also part of the band .
"
Kamal Al-Solaylee,"
"
Pablo Soler Frost,"Pablo Soler Frost (born October 7, 1965) is a Mexican , , , ,  and  A polyglot (he speaks fluently , , ,  and ), he has translated into Spanish several works and poems by , , , , , , , ,  and Joanna Walsh.
"
Susan Sontag,"
"
Tom Spanbauer,"Tom Spanbauer is an American writer whose work often explores issues of sexuality, race, and the ties that bind disparate people together. Raised in Idaho, Spanbauer has lived in Kenya and across the United States. He lives in Portland, Oregon, where he teaches a course titled ""dangerous writing"". He graduated in 1988 from Columbia University with an MFA in Fiction and has written five novels.
"
Sir Stephen Spender,"
"
Jack Spicer,"Jack Spicer (January 30, 1925 – August 17, 1965) was an American  often identified with the . In 2009, My Vocabulary Did This to Me: The Collected Poetry of Jack Spicer won the  for poetry. He spent most of his writing-life in San Francisco,
"
Rae Spoon,"
"
Gertrude Stein,"Gertrude Stein (February 3, 1874 – July 27, 1946) was an American novelist, poet, playwright, and art collector. Born in , in the  neighborhood and raised in , Stein moved to  in 1903, and made France her home for the remainder of her life. She hosted a Paris , where the leading figures of modernism in literature and art, such as , , , , ,  and , would meet.
"
Andreas Steinhöfel,"
"
Ian Stephens,"Ian Stephens (1955 – March 22, 1996) was a  poet, journalist and musician from , , best known as one of the major Canadian voices in the  movement of the 1990s. Most of his work focused on his experiences living with .
"
Kent Stetson,"Kent Stetson,  (born July 5, 1948 in Marshfield, ) is a Canadian playwright and novelist.
"
Susan Stinson,"Susan Stinson is an American writer. She has published four novels and a collection of poetry. 
"
John Elizabeth Stintzi,"
John Elizabeth Stintzi is a  writer, most noted for winning the  in 2019. They are a dual citizen of both the  and .
"
Charles Warren Stoddard,"
"
Aryeh Lev Stollman,"Aryeh Lev Stollman is a writer and physician based in the United States. A  at  in , he has also published several works of fiction.
"
Lytton Strachey,"
"
Allan Stratton,"Allan Stratton (born 1951) is a Canadian  and .
"
Susan Stryker,"Susan O'Neal Stryker (born 1961) is an American professor, author, filmmaker, and theorist whose work focuses on  and . She is  of Gender and Women's Studies, former director of the Institute for LGBT Studies, and founder of the Transgender Studies Initiative at the , and is currently on leave while holding an appointment as Barbara Lee Distinguished Chair in Women's Leadership at . Stryker also serves on the Advisory Council of . 
A transgender woman, she is the author of several books about LGBT history and culture.
"
Douglas Stuart,"
"
Howard Sturgis,"Howard Overing Sturgis (January 30, 1855 – February 7, 1920) was an English-language novelist who wrote about same-sex love. Of American parentage, he lived and worked in Britain.
"
Algernon Swinburne,"
"
John Addington Symonds,"
"
Scott Symons,"Hugh Brennan Scott Symons (July 13, 1933 – February 23, 2009), known professionally as Scott Symons, was a  writer. He was most noted for his novels Place d'Armes and Civic Square, among the first works of  ever published in Canada, as well as a personal life that was often plagued by scandal and interpersonal conflict.
"
Shawn Syms,"Shawn Syms (born 1970) is a  writer and activist on  issues and other aspects of progressive politics based in , .
"
Proma Tagore,"
"
Mutsuo Takahashi,"Mutsuo Takahashi (高橋 睦郎, Takahashi Mutsuo, born December 15, 1937) is one of the most prominent and prolific male , , and writers of contemporary Japan, with more than three dozen collections of , several works of , dozens of books of , and several major literary prizes to his name. He is especially well known for his open writing about male .  He currently lives in the seaside town of , several kilometers south of , Japan.
"
Mariko Tamaki,"
"
Jordan Tannahill,"Jordan Tannahill is a Canadian author, playwright, filmmaker, and theatre director.
"
Joelle Taylor,"
"
Valerie Taylor,"The page is about the novelist and poet. For the diver and shark expert see 
"
Michelle Tea,"Michelle Tea (born Michelle Tomasik, 1971) is an  author, poet, and  organizer whose  explore  culture, , , , , and other topics. She is originally from  and was identified with the  literary and arts community for many years. She currently lives in . Her books, mostly , are known for their exposition of the  community.
"
Sara Teasdale,"Sara Teasdale (August 8, 1884 – January 29, 1933) was an American . She was born Sarah Trevor Teasdale in , and used the name Sara Teasdale Filsinger after her marriage in 1914.
"
Richard Teleky,"Richard Paul Teleky (born 1946) is a  writer and academic, currently a professor in the Humanities Department at  in , .
His primary research areas include Central European literature, ethnic studies/immigrant literature, early modernist writing, and film and contemporary culture, as well as the creative process.
"
Kai Cheng Thom,"Kai Cheng Thom is a  writer and social worker. She has published four books, including the novel  (2016), the poetry collection a place called No Homeland (2017), a children's book, From the Stars in The Sky to the Fish in the Sea (2017), and I Hope We Choose Love: A Trans Girl's Notes from the End of the World (2019), a book of essays centered on .
"
Colin Thomas,"Colin Thomas is a  writer from , . He is known as a longtime theatre critic for , an alt-weekly, serving 30 years until 2016.
"
Sara Tilley,"Sara Tilley is a  writer from , most noted for winning the  in 2016 for her novel Duke. The novel was also named to the initial longlist for the 2017 , but was not a finalist.
"
James Tiptree Jr.,"
"
Colm Tóibín,"
"
Peterson Toscano,"Peterson Toscano (born February 17, 1965 in ) is a , , , , , advocate against , and . Toscano spent nearly two decades undergoing  treatment and  before accepting his  and coming out as a gay man. He has since shared his experiences internationally through various media outlets, especially plays. His talks and performances use comedy and storytelling to explore  issues, , and .
"
Paul Toupin,"
Paul Toupin (December 7, 1918 – March 8, 1993) was a  journalist, essayist and playwright.
"
Matthew J. Trafford,"Matthew J. Trafford is a  writer, who was awarded an Honour of Distinction from the  for  writers in 2011.
"
Michel Tremblay,"Michel Tremblay,  (born 25 June 1942) is a   and .
"
Roland Michel Tremblay,"Roland Michel Tremblay (born October 15, 1972 in , ) is a  author, poet, scriptwriter, development producer and  consultant. He has been living in  since 1995.
"
Mary L. Trump,"
"
Christos Tsiolkas,"
Christos Tsiolkas (born 1965) is an Australian author.
"
Marina Tsvetaeva,"
"
Aren X. Tulchinsky,"Aren X. Tulchinsky, formerly known as Karen X. Tulchinsky, is a Canadian novelist, short story writer,  and screenwriter from , .
"
Arielle Twist,"Arielle Twist is a  poet from . Her debut poetry collection Disintegrate / Dissociate was published in 2019, and won the  for English poetry in 2020; in the same year, Twist won the  for emerging LGBTQ writers.
"
Karl Heinrich Ulrichs,"
"
Luz María Umpierre,"Luz María ""Luzma"" Umpierre-Herrera (born 1947 in ) is a Puerto Rican human rights advocate, New-Humanist educator, poet, and scholar.  Umpierre-Herrera works on the topics of activism and social equality, the immigrant experience and bilingualism in the United States, and Lesbian, Gay, Bisexual, and Transgender (LGBT) issues. Umpierre has published ten poetry books and has had numerous essays published in academic journals.
"
Fernando Vallejo,"Fernando Vallejo Rendón (born 1942 in , ) is a Colombian-born novelist, filmmaker and essayist. He obtained  nationality in 2007.
"
Ruth Vanita,"
"
Marlene van Niekerk,"Marlene van Niekerk is a South African academic, novelist and poet who is best known internationally for her novels Triomf and Agaat. Her graphic and controversial descriptions of a poor  family in  in Triomf brought her to the forefront of a post- society still struggling to come to terms with all the changes in South Africa. This novel was made into an award-winning film, likewise called , in 2008, directed by .
"
R. M. Vaughan,"Richard Murray Vaughan (March 2, 1965 – October 2020) was a  writer and artist.
"
Sándor Vay,"
"
Carl Van Vechten,"
"
Valeria Vegas,"Valeria Martínez Zaragoza (born August 8, 1985 in Valencia, Spain), known by her pseudonym Valeria Vegas, is a Spanish journalist, documentary filmmaker, essayist, writer, collaborator and producer.
"
Paul Verlaine,"
"
Théophile de Viau,"Théophile de Viau (1590 – 25 September 1626) was a French   and .
"
Gore Vidal,"
"
Xavier Villaurrutia,"Xavier Villaurrutia y González (27 March 1903 – 25 December 1950) was a  ,  and literary critic whose most famous works are the short theatrical dramas called Autos profanos, compiled in the work Poesía y teatro completos, published in 1953.
"
David Viñas,"David Viñas (July 28, 1927 – March 10, 2011) was an  dramatist, critic, and novelist.
"
Virgil,"
"
Renée Vivien,"Renée Vivien (11 June 1877 – 18 November 1909) was a  poet who wrote in French, in the style of the  and the . A high-profile lesbian in the Paris of the , she is notable for her work, which has received more attention following a recent revival of interest in . Many of her poems are autobiographical, pertaining mostly to Baudelarian themes of extreme romanticism and frequent despair. She was the subject of a pen-portrait by her friend and neighbor .
"
Bruno Vogel,"Bruno Vogel  (29 September 1898 – 5 April 1987) was a German pacifist and writer.
"
Paula Vogel,"Paula Vogel (born November 16, 1951) is an American  who received the 1998  for her play . A longtime teacher, Vogel spent the bulk of her academic career – from 1984 to 2008 – at Brown University, where she served as Adele Kellenberg Seaver Professor in Creative Writing, oversaw its playwriting program, and helped found the Brown/Trinity Rep Consortium. From 2008 to 2012, Vogel was Eugene O'Neill Professor of Playwriting and department chair at the , as well as playwright in residence at the .
"
Rinaldo Walcott,"Rinaldo Walcott (born 1960) is a  academic and writer. He wrote in 2021 ""I was born in the Caribbean  and have lived most of my life in Canada, specifically Toronto."" Currently, he is an associate professor at the  and the director of the Women and Gender Studies Institute at the . He is also affiliated with the Cinema Studies Institute at the University of Toronto. Walcott was formerly an assistant professor at . From 2002 to 2007, he was the  of Social Justice and Cultural Studies.
"
Alice Walker,"
"
Betsy Warland,"
"
Sylvia Townsend Warner,"
"
Patricia Nell Warren,"
"
Bryan Washington,"Bryan Washington (born October 1993) is an  writer. He published his debut short story collection, Lot, in 2019 and a novel, , in 2020.
"
Sarah Waters,"
"
David Watmough,"David Arthur Watmough (August 17, 1926 - August 4, 2017) was a Canadian ,  writer and .
"
Evelyn Waugh,"
"
Thomas Waugh,"Hard to Imagine: Gay Male Eroticism in Photography and Film from Their Beginnings to Stonewall
The Romance of Transgression in Canada: Queering Sexualities, Nations, Cinemas
"
Jessica L. Webb,"Jessica L. Webb is a  writer of mystery thriller novels. Her second published novel, Pathogen, won a  in the Lesbian Mystery category at the  in 2017, and her fourth novel, Repercussions, is a shortlisted nominee in the same category at the  in 2018.
"
Barry Webster,"Barry Webster (born 1961) is a Canadian writer. Originally from , , he is currently based in , .
"
John Weir,"John Weir (born 8 February 1959 in ) is an  writer. He is the author of two novels, The Irreversible Decline of Eddie Socket (HarperCollins, 1989), which won the  for  at the  in 1990, and for which he received an NEA Fellowship in Fiction in 1991; and What I Did Wrong (Viking, 2006).
"
Denton Welch,"
"
Robert Westfield,"Robert Westfield (born 1972) is an American writer, who won two  in 2007 for his  Suspension. The novel, published in 2006 by , was nominated for and won Lambdas in the categories of  and Gay Debut Fiction.
"
Edmund White,"
"
Patrick White,"
"
Joshua Whitehead,"Joshua Whitehead is a  , two spirit poet and novelist.
"
William Whitehead,"William Frederick (Bill) Whitehead (August 16, 1931 – February 1, 2018) was a  writer, actor and filmmaker. Whitehead is best known as a writer of radio and television documentaries and as the former partner of the late Canadian writer .
"
Walt Whitman,"
"
Zoe Whittall,"Zoe Whittall (born February 16, 1976) is a Canadian poet, novelist and TV writer. She has published four novels and three poetry collections to date.
"
Oscar Wilde,"
"
Thornton Wilder,"
"
Michael Willhoite,"Michael Willhoite is
an artist and writer who is best known for his children's books depicting families with gay parents. His book  (1990) was the second most challenged book in American libraries in the decade of 1990-1999, according to the .
"
Jonathan Williams,"Jonathan Williams (March 8, 1929 – March 16, 2008) was an , publisher, essayist, and photographer. He is known as the founder of , which has published poetry, experimental fiction, photography, and folk art since 1951.
"
Tennessee Williams,"
"
Angus Wilson,"
"
Douglas Wilson,"Douglas Wilson (1950–1992) was a Canadian gay activist, graduate student, publisher and writer born in . In 1975, he gained prominence in a fight for gay rights with the . The university's dean of the College of Education refused to allow Wilson into the school system to supervise practice teachers because of his public involvement with the gay liberation movement. Wilson was vice-president of the Gay Community Centre Saskatoon and had been trying to start a gay academic union at the university. The  failed to protect Wilson and his case was unsuccessful.
"
Jacqueline Wilson,"
"
Jonathan Wilson,"Jonathan Wilson is a  actor, comedian and playwright, best known for his 1996 play . The play, a semi-autobiographical comedy about growing up  in , , was also optioned by 's SFA Productions for production as a film, which won an award at the  in 2002 before being broadcast as a  on  in 2005.
"
Martin Wilson,"Martin Wilson (born 1973 in ) is an American writer. He is best known for his award-winning  , published in 2008.
"
Jia Qing Wilson-Yang,"
"
Johann Joachim Winckelmann,"Johann Joachim Winckelmann (; German: ; 9 December 1717 – 8 June 1768) was a   and . He was a pioneering  who first articulated the difference between ,  and . ""The prophet and founding hero of "", Winckelmann was one of the founders of scientific archaeology and first applied the categories of style on a large, systematic basis to the . Many consider him the father of the discipline of . He was one of the first to separate Greek Art into periods, and time classifications. His would be the decisive influence on the rise of the  during the late 18th century. His writings influenced not only a new science of archaeology and art history but Western painting, sculpture, literature and even philosophy. Winckelmann's History of Ancient Art (1764) was one of the first books written in German to become a classic of European literature. His subsequent influence on , , , , , , , and  has been provocatively called ""the Tyranny of Greece over Germany.""
"
Donald Windham,"Donald Windham (July 2, 1920 – May 31, 2010) was an American novelist and memoirist. He is perhaps best known for his close friendships with  and . Born in , Windham moved with his then-boyfriend Fred Melton, an artist, to  in 1939. In 1942 Windham collaborated with Williams on the play, You Touched Me!, which is based on a  short story with the same title. Windham received a  in 1960.
"
Christa Winsloe,"Christa Winsloe (23 December 1888 – 10 June 1944), formerly Baroness Christa Hatvany de Hatvan, was a German-Hungarian ,  and sculptor, best known for her play Gestern und heute (known under several titles, see below), filmed in 1931 as  and the . Winsloe was the first to write a play on female homosexuality in the , yet without a ""radical critique of the social discrimination of lesbian women.""
"
Jeanette Winterson,"
"
Monique Wittig,"Monique Wittig (French: ; July 13, 1935 – January 3, 2003) was a ,  and  who wrote about overcoming socially enforced  and who coined the phrase ""heterosexual contract"". She published her first novel, , in 1964.  Her second novel,  (1969), was a landmark in .
"
Rita Wong,"Rita Wong (born 1968) is a Canadian poet.
"
Alan Woo,"Alan Woo is a  writer, who won the  in 2013 for his debut book Maggie's Chopsticks. His second children's book David Jumps In was released by Kids Can Press in March 2020. He has also published poetry and short stories in , Quills and .
"
Jaime Woo,"Jaime Woo is a Canadian writer and game developer. He is best known for his 2013 book Meet Grindr: How One App Changed the Way We Connect, an exploration of the impact of  on social interaction in the  male community which was a shortlisted nominee for the  for non-fiction at the .
"
Marnie Woodrow,"Marnie Woodrow (born 1969) is a Canadian comedian and writer and editor. She has also worked as an editor, magazine writer and as a researcher for TV and radio.
"
Virginia Woolf,"
"
Bart Yates,"Bart Yates is an American novelist, from .  He also writes under the pen name of Noah Bly.
"
d'bi young,"d’bi.young anitafrika is a Jamaican-Canadian feminist  and .  Her work includes theatrical performances, four published collections of poetry, twelve plays, and seven albums.
"
Ian Young,"Ian Young (born January 5, 1945) is an English-Canadian poet, editor, literary critic, and historian. While a student at the , he was a founding member of the , the first post-Stonewall gay organization in Canada. He founded Canada's first gay publishing company, , in 1970, printing over thirty works of poetry and fiction by Canadian, British, and American writers until the press ceased operation in 1980. His work has appeared in , ,  and , as well as in more than fifty anthologies. He was a regular columnist for  from 1975 to 1985 and for Torso between 1991 and 2008.
"
Perry Deane Young,"Perry Deane Young (March 27, 1941 – January 1, 2019) was a journalist, author, , historian, and professional . He was the author of , about fellow journalists  and , who went missing during the  and whose fates remain unknown, and the co-author of The David Kopay Story, a biography of 1970's professional  player , who revealed in 1975 that he was .
"
Marguerite Yourcenar,"Marguerite Yourcenar (: , : , French:  (); born Marguerite Antoinette Jeanne Marie Ghislaine Cleenewerck de Crayencour, 8 June 1903 – 17 December 1987) was a French novelist and essayist born in Brussels, Belgium, who became a US citizen in 1947. Winner of the  and the , she was the first woman elected to the , in 1980, and the seventeenth person to occupy .
"
Josée Yvon,"
Josée Yvon (1950 – June 12, 1994) was a  poet, playwright and screenwriter. Her work relates largely to marginalised groups in society.
"
Luis Zapata,"Luis Zapata Quiroz (27 April 1951 – 4 November 2020) was one of the most prominent  writers in .
"
Eve Zaremba,"Eve Zaremba (born 1930 in , Poland) is a Canadian mystery writer. She has published several novels focusing on Helen Keremos, a private detective who has been described the first  character in literary history to be the main character in an ongoing series of .
"
Jerzy Zawieyski,"
"
Fiona Zedde,"Fiona Zedde (born January 24, 1976) is the  of Jamaican-born American fiction writer Fiona Lewis . Her 2005 novel, Bliss, was a finalist for the  for début .
"
"Cyd Zeigler, Jr.","Cyd Zeigler Jr (born in ) is a commentator and author in the field of sexuality and sports. Zeigler co-founded  and the . He had a featured part in the documentary  (2015).
"
Alexander Ziegler,"Alexander Ziegler (8 March 1944 – in Zürich; 11 August 1987 in Zürich) was a   and .
"
Richard Zimler,"Richard Zimler (born 1 January 1956 in ) is a best-selling author. His books, which have earned him a 1994  Fellowship in Fiction and the 1998 , have been published in many countries and translated into more than 20 languages.
"
Robert D. Zimmerman,"
Robert Dingwall (R.D.) Zimmerman (born August 8, 1952) is an American author of mysteries, psychological thrillers, and children's books.  He has won several literary awards.
"
Narcyza Żmichowska,"Narcyza Żmichowska pronounced  (, 4 March 1819 – 24 December 1876, Warsaw), also known under her popular  Gabryella, was a   and . She is considered a precursor of .
"
Rachel Zolf,"Rachel Zolf (born 1968) is a Canadian-American  and theorist. They are the author of five poetry collections: Janey's Arcadia(2014), which was nominated for a , a Raymond Souster Memorial Award, and a Vine Award; Neighbour Procedure(2010); Human Resources(2007), which won the 2008  for Poetry and was a finalist for the ; Masque (2004), which was shortlisted for the 2005  for Poetry; and Her absence, this wanderer (1999), the title poem of which was a finalist in the CBC Literary Competition. A selected poetry, Social Poesis: The Poetry of Rachel Zolf, was published in 2019, and a work of poetics/theory, No One's Witness: A Monstrous Poetics, in 2021. They received a Pew Fellowship in the Arts in 2018.
"
Daniel Zomparelli,"Daniel Zomparelli is a  writer from , . He is married to American screenwriter .
"
Mark Richard Zubro,"Mark Richard Zubro is an American  . He lives in  and taught 8th grade English at Summit Hill Jr. High in nearby .
"
Peter Zuckerman,"Peter Zuckerman (born December 27, 1979) is an  journalist and author who has focused his career in court reporting, , and adventure stories. He is also a leader of several prominent progressive political campaigns.
"
Harriet Sohmers Zwerling,"Harriet Sohmers Zwerling (March 26, 1928 – June 21, 2019) was an American writer and artist's model.
"
